STATISTIÈNA REGIJA;15 DO 24 LET;25 DO 29 LET;30 DO 39 LET;40 DO 49 LET;50 DO 54 LET;55 LET ALI VEÈ;SKUPAJ
 Jugovzhodna Slovenija;1087;1401;2017;1671;1203;1400;8779
 Koroška;498;687;876;736;490;566;3853
 Notranjsko-kraška;285;414;596;508;373;572;2748
 Podravska;2022;2975;4264;3918;2533;3588;19300
 Pomurska;1021;1180;1630;2046;1453;1732;9062
 Savinjska;1830;2854;3845;3072;1994;2542;16137
 Spodnjeposavska;507;723;982;898;598;781;4489
 Zasavska;392;627;792;577;396;466;3250
 Gorenjska;763;1354;1815;1369;998;1706;8005
 Goriška;452;974;1415;980;633;1073;5527
 Obalno-kraška;384;836;1445;1164;734;1248;5811
 Osrednjeslovenska;2223;4656;7335;5457;3477;4999;28147
