STATISTI?NA REGIJA;DO 2;3 DO 5;6 DO 8;9 DO 11;"12 DO 23
";24 DO 35;36 ALI VE?;SKUPAJ
 Jugovzhodna Slovenija;1340;786;649;784;1681;919;2620;8779
 Koroška;820;445;325;381;713;307;862;3853
 Notranjsko-kraška;554;293;213;252;666;263;507;2748
 Podravska;4140;2016;1525;1941;3748;1600;4330;19300
 Pomurska;1717;1249;599;903;1486;569;2539;9062
 Savinjska;3287;1656;1375;1622;3384;1486;3327;16137
 Spodnjeposavska;851;367;310;436;836;421;1268;4489
 Zasavska;555;251;289;412;681;340;722;3250
 Gorenjska;1953;978;820;839;1634;604;1177;8005
 Goriška;1110;577;481;560;1256;548;995;5527
 Obalno-kraška;1269;639;572;682;1254;457;938;5811
 Osrednjeslovenska;4901;2934;2564;2609;6345;2822;5972;28147
